"TIME","GEO","CITIZEN","AGE","SEX","Value"
"2002","Greece","Kosovo (under United Nations Security Council Resolution 1244/99)","Total","Total",":"
"2002","Greece","Eritrea","Total","Total",":"
"2002","Greece","Somalia","Total","Total",":"
"2002","Greece","Congo","Total","Total",":"
"2002","Greece","Guinea","Total","Total",":"
"2002","Greece","Nigeria","Total","Total",":"
"2002","Greece","China (including Hong Kong)","Total","Total",":"
"2002","Greece","Afghanistan","Total","Total",":"
"2002","Greece","Bangladesh","Total","Total",":"
"2002","Greece","Iran","Total","Total",":"
"2002","Greece","Pakistan","Total","Total",":"
"2002","Greece","Armenia","Total","Total",":"
"2002","Greece","Georgia","Total","Total",":"
"2002","Greece","Iraq","Total","Total",":"
"2002","Greece","Syria","Total","Total",":"
"2002","Spain","Reporting country","Total","Total","39,403,520"
"2002","Spain","Former Yugoslav Republic of Macedonia, the","Total","Total","209"
"2002","Spain","Turkey","Total","Total","697"
"2002","Spain","Serbia","Total","Total",":"
"2002","Spain","Russia","Total","Total","13,248"
"2002","Spain","Kosovo (under United Nations Security Council Resolution 1244/99)","Total","Total",":"
"2002","Spain","Eritrea","Total","Total","22"
"2002","Spain","Somalia","Total","Total","264"
"2002","Spain","Congo","Total","Total","908"
"2002","Spain","Guinea","Total","Total","3,588"
"2002","Spain","Nigeria","Total","Total","9,669"
"2002","Spain","China (including Hong Kong)","Total","Total","29,709"
"2002","Spain","Afghanistan","Total","Total","164"
"2002","Spain","Bangladesh","Total","Total","1,525"
"2002","Spain","Iran","Total","Total","2,122"
"2002","Spain","Pakistan","Total","Total","11,024"
"2002","Spain","Armenia","Total","Total","2,857"
"2002","Spain","Georgia","Total","Total","1,398"
"2002","Spain","Iraq","Total","Total","1,017"
"2002","Spain","Syria","Total","Total","1,593"
"2002","France","Reporting country","Total","Total",":"
"2002","France","Former Yugoslav Republic of Macedonia, the","Total","Total",":"
"2002","France","Turkey","Total","Total",":"
"2002","France","Serbia","Total","Total",":"
"2002","France","Russia","Total","Total",":"
"2002","France","Kosovo (under United Nations Security Council Resolution 1244/99)","Total","Total",":"
"2002","France","Eritrea","Total","Total",":"
"2002","France","Somalia","Total","Total",":"
"2002","France","Congo","Total","Total",":"
"2002","France","Guinea","Total","Total",":"
"2002","France","Nigeria","Total","Total",":"
"2002","France","China (including Hong Kong)","Total","Total",":"
"2002","France","Afghanistan","Total","Total",":"
"2002","France","Bangladesh","Total","Total",":"
"2002","France","Iran","Total","Total",":"
"2002","France","Pakistan","Total","Total",":"
"2002","France","Armenia","Total","Total",":"
"2002","France","Georgia","Total","Total",":"
"2002","France","Iraq","Total","Total",":"
"2002","France","Syria","Total","Total",":"
"2002","Croatia","Reporting country","Total","Total",":"
"2002","Croatia","Former Yugoslav Republic of Macedonia, the","Total","Total",":"
"2002","Croatia","Turkey","Total","Total",":"
"2002","Croatia","Serbia","Total","Total",":"
"2002","Croatia","Russia","Total","Total",":"
"2002","Croatia","Kosovo (under United Nations Security Council Resolution 1244/99)","Total","Total",":"
"2002","Croatia","Eritrea","Total","Total",":"
"2002","Croatia","Somalia","Total","Total",":"
"2002","Croatia","Congo","Total","Total",":"
"2002","Croatia","Guinea","Total","Total",":"
"2002","Croatia","Nigeria","Total","Total",":"
"2002","Croatia","China (including Hong Kong)","Total","Total",":"
"2002","Croatia","Afghanistan","Total","Total",":"
"2002","Croatia","Bangladesh","Total","Total",":"
"2002","Croatia","Iran","Total","Total",":"
"2002","Croatia","Pakistan","Total","Total",":"
"2002","Croatia","Armenia","Total","Total",":"
