"","Destination_sort","Afghanistan","Armenia","Bangladesh","China","Democratic Republic of the Congo","Eritrea","Former Yugoslav Republic of Macedonia, the","Georgia","Guinea","Iran","Iraq","Kosovo","Nigeria","Pakistan","Russia","Serbia","Somalia","Sri Lanka","Syria","Turkey","Destination_perc","Afghanistan_perc","Armenia_perc","Bangladesh_perc","China_perc","Democratic Republic of the Congo_perc","Eritrea_perc","Former Yugoslav Republic of Macedonia, the_perc","Georgia_perc","Guinea_perc","Iran_perc","Iraq_perc","Kosovo_perc","Nigeria_perc","Pakistan_perc","Russia_perc","Serbia_perc","Somalia_perc","Sri Lanka_perc","Syria_perc","Turkey_perc"
"Germany",22,23925,2130,735,2015,1020,2435,16640,3855,1410,13535,36270,10990,3660,6365,16705,37765,4265,2920,21355,8535,22,0.431556948798328,0.0962441314553991,0.0408163265306122,0.196029776674938,0.259803921568627,0.796714579055442,0.00240384615384615,0.0116731517509728,0.180851063829787,0.549316586627263,0.632478632478632,0.0291173794358508,0.0819672131147541,0.220738413197172,0.0790182580065849,0.00383953396001589,0.647127784290739,0.496575342465753,0.807305080777336,0.127123608670182
"Greece",21,5925,365,8935,1665,155,265,10,7575,430,1590,5685,5,2985,25580,395,25,510,385,2555,245,21,0.0362869198312236,0,0.00111919418019026,0.003003003003003,0.0967741935483871,0.150943396226415,0,0.00264026402640264,0.0232558139534884,0.0660377358490566,0.0175901495162709,0,0.0134003350083752,0.000781860828772478,0.0379746835443038,0,0.0784313725490196,0.025974025974026,0.0430528375733855,0.204081632653061
"Hungary",20,1915,20,155,105,20,10,25,165,75,140,230,1925,235,1170,45,465,420,30,305,110,20,0.35509138381201,0.25,0,0.0476190476190476,0,1,0,0.181818181818182,0,0.142857142857143,0.543478260869565,0.0025974025974026,0.0212765957446809,0.0213675213675214,0.333333333333333,0.118279569892473,0.904761904761905,0.666666666666667,0.60655737704918,0.0454545454545455
"Ireland",18,410,35,190,265,580,180,0,370,55,225,450,60,2480,1095,115,50,375,45,80,15,18,0.109756097560976,0,0.0263157894736842,0.0377358490566038,0.0431034482758621,0.166666666666667,0,0,0,0.2,0.333333333333333,0,0.00403225806451613,0.0593607305936073,0.130434782608696,0,0.213333333333333,0.111111111111111,0.6875,0
"Italy",17,7170,220,4915,215,375,6205,215,390,1945,1120,2510,1005,22995,8820,135,1395,9635,640,1300,3590,17,0.813807531380753,0.568181818181818,0.322482197355036,0.348837209302326,0.68,0.879935535858179,0.209302325581395,0.282051282051282,0.496143958868895,0.816964285714286,0.790836653386454,0.353233830845771,0.343987823439878,0.41156462585034,0.555555555555556,0.365591397849462,0.959003632589517,0.546875,0.6,0.477715877437326
"Latvia",16,70,0,5,0,30,0,0,110,0,25,0,0,0,0,30,0,0,0,40,5,16,0.285714285714286,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0.875,0
"Liechtenstein",15,5,5,0,5,0,50,35,0,0,0,0,15,0,0,50,15,50,0,0,0,15,0,0,0,1,0,0.1,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0
"Lithuania",14,95,10,0,0,5,5,0,645,0,0,5,0,0,5,250,0,0,15,10,0,14,0.842105263157895,0,0,0,0,1,0,0,0,0,1,0,0,0,0.34,0,0,0.333333333333333,1,0
"Luxembourg",13,75,10,0,5,35,35,460,30,25,165,245,750,80,0,150,1335,85,0,35,15,13,0.4,0,0,0,0.428571428571429,0.142857142857143,0,0,0,0.484848484848485,0.428571428571429,0.0266666666666667,0.1875,0,0.133333333333333,0.0411985018726592,0.235294117647059,0,0.428571428571429,0
"Malta",12,0,5,60,5,5,1675,0,5,60,5,25,0,860,85,0,0,5110,5,455,5,12,0,0,0.0833333333333333,1,0,0.901492537313433,0,1,0,1,0,0,0.0232558139534884,0.411764705882353,0,0,0.938356164383562,1,1,0
"Netherlands",11,9060,2300,140,1915,380,3180,755,1525,1545,5320,15560,185,870,575,2065,660,20900,1310,3405,575,11,0.390176600441501,0.13695652173913,0.107142857142857,0.4177545691906,0.697368421052632,0.666666666666667,0,0.0163934426229508,0.352750809061489,0.489661654135338,0.555269922879177,0.027027027027027,0.109195402298851,0.330434782608696,0.0702179176755448,0.0227272727272727,0.67822966507177,0.412213740458015,0.81057268722467,0.226086956521739
"Norway",10,9035,110,430,605,400,11305,210,305,325,2800,6105,715,2300,580,3830,1685,10455,830,1670,345,10,0.408411732152739,0,0,0.809917355371901,0.3125,0.727554179566563,0,0,0.169230769230769,0.276785714285714,0.256347256347256,0.020979020979021,0.0478260869565217,0.0862068965517241,0.0822454308093995,0.0356083086053412,0.630320420851267,0.168674698795181,0.598802395209581,0.101449275362319
"Poland",9,130,560,60,40,20,15,0,3985,30,40,110,0,85,105,16710,5,30,55,100,60,9,0.384615384615385,0.205357142857143,0,0.125,0,1,0,0.0263488080301129,0,0.125,0.863636363636364,0,0.117647058823529,0.0476190476190476,0.386295631358468,0,0.833333333333333,0.727272727272727,0.9,0.0833333333333333
"Portugal",8,5,0,5,0,50,15,0,5,210,20,0,0,85,15,15,0,50,30,15,5,8,1,0,0,0,0.8,1,0,0,0.333333333333333,1,0,0,0.235294117647059,0.666666666666667,1,0,0.9,0.833333333333333,1,1
"Romania",7,245,15,275,90,15,15,0,110,15,70,385,0,30,585,30,35,35,20,1060,150,7,0.387755102040816,0,0,0.111111111111111,0.666666666666667,1,0,0,0.333333333333333,0.285714285714286,0.675324675324675,0,0,0.0170940170940171,0,0,0.571428571428571,0,0.85377358490566,0.0333333333333333
"Slovakia",6,325,20,35,70,30,20,0,65,0,45,85,0,0,125,95,25,265,5,25,35,6,0.646153846153846,0.25,0.142857142857143,0.142857142857143,0.166666666666667,0.75,0,0.0769230769230769,0,0.444444444444444,0.705882352941177,0,0,0.12,0.105263157894737,0,0.716981132075472,0,0.6,0
"Slovenia",5,110,0,0,5,0,10,5,0,0,45,10,105,30,40,40,135,45,5,30,75,5,0.181818181818182,0,0,0,0,0.5,0,0,0,0.222222222222222,0,0.0952380952380952,0,0,0.25,0.037037037037037,0.444444444444444,0,0.166666666666667,0
"Spain",4,230,190,130,30,575,130,30,170,660,255,210,0,2380,370,365,35,415,170,380,110,4,0.521739130434783,0.0263157894736842,0.115384615384615,0.166666666666667,0.11304347826087,0.230769230769231,0,0,0,0.156862745098039,0.595238095238095,0,0.00420168067226891,0.445945945945946,0.191780821917808,0,0.650602409638554,0.5,0.447368421052632,0
"Sweden",3,14990,1535,640,365,495,10060,2305,1835,225,6335,22475,5250,1835,825,4960,13845,25735,185,19325,1170,3,0.607404936624416,0.0781758957654723,0.125,0.205479452054795,0.333333333333333,0.711232604373757,0.00433839479392625,0.0272479564032698,0.155555555555556,0.294396211523283,0.319688542825362,0.0495238095238095,0.0899182561307902,0.16969696969697,0.151209677419355,0.0241964608161791,0.601904021760249,0.135135135135135,0.818111254851229,0.106837606837607
"Switzerland",2,3290,275,160,1700,940,15100,1425,2085,1140,1235,3425,1640,8450,330,1470,3430,4650,3395,2795,1920,2,0.638297872340426,0.181818181818182,0.375,0.876470588235294,0.73936170212766,0.851655629139073,0.056140350877193,0.0167865707434053,0.0614035087719298,0.684210526315789,0.621897810218978,0.192073170731707,0.0118343195266272,0.166666666666667,0.251700680272109,0.253644314868805,0.755913978494624,0.733431516936672,0.711985688729875,0.705729166666667
"United Kingdom",1,12340,90,3340,6565,1560,7620,50,315,510,15080,5200,150,6020,16415,615,95,5330,10090,3710,1065,1,0.370340356564019,0.111111111111111,0.101796407185629,0.138613861386139,0.314102564102564,0.648950131233596,0.1,0.0793650793650794,0.333333333333333,0.387267904509284,0.241346153846154,0.333333333333333,0.11046511627907,0.162960706670728,0.341463414634146,0.105263157894737,0.569418386491557,0.185827552031715,0.711590296495957,0.2018779342723
